Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2018-03-07
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;18;null;null;25.227273;6;null;
2018-04-30;24;217.6;982.705694;24.917639;7.5;1.490417;
2018-05-31;14;104.8;983.172177;25.247177;5.4;1.621774;
2018-06-30;3;15.2;984.127361;25.578056;6.2;1.908472;
2018-07-31;4;1;983.896909;26.049462;5.8;2.020968;
2018-08-31;5;56;984.270968;25.893817;4.7;2.034274;
2018-09-30;null;null;981.822778;26.834583;5.1;2.197361;
2018-10-31;5;10.8;981.380108;27.291532;4.8;2.062231;
2018-11-30;11;158.8;980.594028;27.200833;6.4;2.022222;
2018-12-31;19;166.6;982.585887;25.244086;5.2;1.731855;
2019-01-31;19;196.6;982.906855;25.235349;6;1.763441;
2019-02-28;24;293;982.390774;24.946875;7.7;1.566369;
2019-03-31;26;489.8;982.981989;24.878091;7.2;1.554167;
2019-04-30;26;347.2;982.629306;25.179583;5.6;1.404167;
2019-05-31;12;121.6;982.298522;25.682527;6.8;1.626993;
2019-06-30;1;4.2;984.019722;26.122222;6;2.050278;
2019-07-31;7;19.8;984.038307;25.66371;6.1;2.000403;
2019-08-31;1;1;984.647984;26.284005;6;2.134409;
2019-09-30;2;.6;982.848333;27.242917;4.9;2.248333;
2019-10-31;8;19.4;981.483468;26.96371;6.7;2.043683;
2019-11-30;8;78;980.431944;27.050417;5;1.815139;
2019-12-31;12;116.8;980.730645;27.031452;5.3;1.940054;
2020-01-31;27;175;982.498387;25.427285;6.8;1.50578;
2020-02-29;null;null;982.596983;25.40704;5.5;1.521552;
2020-03-31;null;null;982.533333;25.14879;5.6;1.350538;
2020-04-30;null;null;982.989028;25.339167;6.7;1.500694;
2020-05-31;null;null;983.380645;26.467876;5.1;1.766264;
2020-06-30;4;13.6;983.469444;26.180139;6.4;2.076667;
2020-07-31;1;4;983.149462;26.323387;6.4;2.09785;
2020-08-31;0;0;982.922849;26.691263;6.8;2.154973;
2020-09-30;0;0;982.329445;27.346806;5.7;2.269306;
2020-10-31;3;9.4;981.500134;27.514247;6.7;2.040591;
2020-11-30;12;312;981.230833;26.137639;5.1;1.716944;
2020-12-31;6;48.2;981.254301;25.904839;5.9;1.733333;

