Nome: SALGUEIRO
Codigo Estacao: A370
Latitude: -8.05805555
Longitude: -39.0961111
Altitude: 447
Situacao: Operante
Data Inicial: 2017-09-14
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-09-30;null;null;null;null;6.5;null;
2017-10-31;null;null;null;28.007563;7;null;
2017-11-30;5;19;960.129575;29.238539;8.4;2.633646;
2017-12-31;6;22.4;960.196127;29.165117;6.6;2.543175;
2018-01-31;8;51.2;960.927449;27.54602;7;2.1455;
2018-02-28;13;228.6;960.648408;25.866194;6;1.39025;
2018-03-31;4;53.6;961.092308;25.808435;5.2;1.47189;
2018-04-30;11;91.2;962.418104;24.627252;6;1.235725;
2018-05-31;8;9;963.454465;25.529741;6.3;2.11651;
2018-06-30;2;1.2;965.022864;24.848595;6.6;2.268017;
2018-07-31;2;.6;965.358871;24.475;6.5;2.520968;
2018-08-31;2;.8;965.181925;25.658404;6.2;2.622031;
2018-09-30;0;0;962.667766;27.377535;6.4;2.966739;
2018-10-31;7;18.2;961.278173;28.59484;6.6;2.451368;
2018-11-30;0;0;960.528396;29.241454;6.5;2.763198;
2018-12-31;10;225.2;962.015191;27.414177;6;1.608348;
2019-01-31;4;20.6;962.372037;28.070541;6.2;1.842456;
2019-02-28;9;165.6;961.218433;27.917644;7.4;1.684136;
2019-03-31;15;179.2;961.880148;27.649345;6.8;1.295226;
2019-04-30;10;65.4;961.896667;27.795278;5;.984861;
2019-05-31;1;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;9;28.8;965.505172;23.3625;7.1;2.233621;
2019-08-31;4;3.2;966.569203;24.054185;7.1;2.720075;
2019-09-30;null;0;963.98732;27.06466;6.9;2.833145;
2019-10-31;2;.8;961.72247;28.613488;6.7;3.063581;
2019-11-30;4;19.6;959.9766;29.451365;6.4;2.466099;
2019-12-31;2;12.2;960.441982;28.908129;6.2;2.373662;
2020-01-31;7;null;null;null;5.1;null;
2020-02-29;null;null;null;null;4.7;null;
2020-03-31;null;null;null;null;4.9;null;
2020-04-30;null;null;null;null;4.6;null;
2020-05-31;null;null;null;null;4.2;null;
2020-06-30;null;null;null;null;6.1;null;
2020-07-31;null;null;null;null;6.5;null;
2020-08-31;null;null;null;null;6.8;null;
2020-09-30;null;null;null;null;6.5;null;
2020-10-31;null;null;null;null;6.7;null;
2020-11-30;null;null;null;null;5.9;null;
2020-12-31;null;null;null;null;4.9;null;

